Fecha_dt,Compra,Venta
2025-11-01,,
2025-11-02,,
2025-11-03,3.366,3.378
2025-11-04,3.366,3.378
2025-11-05,3.366,3.378
2025-11-06,3.371,3.377
2025-11-07,3.37,3.381
2025-11-08,,
2025-11-09,,
2025-11-10,3.366,3.38
2025-11-11,3.366,3.38
2025-11-12,3.362,3.372
2025-11-13,3.361,3.368
2025-11-14,3.361,3.368
2025-11-15,3.361,3.368
2025-11-16,3.363,3.371
2025-11-17,3.359,3.372
2025-11-18,3.366,3.372
2025-11-19,3.366,3.372
2025-11-20,3.366,3.372
2025-11-21,3.384,3.391
2025-11-22,,
2025-11-23,,
2025-11-24,,
2025-11-25,,
